hand distance scaled,v1 no voronoi distance scaled,v1 voronoi distance scaled,v2 no voronoi distance scaled,v2 voronoi distance scaled,hand stddev scaled,v1 no voronoi stddev scaled,v1 voronoi stddev scaled,v2 voronoi stddev scaled,v2 no voronoi stddev scaled
0,146.0088113,-36.24688078,114.6246156,0,0,146.0088113,-186.2072679,114.134471,95.90733105
65.57917728,101.0752976,95.52279483,55.12619144,64.2022792,49.64814743,101.0752976,0,26.95741487,86.24608115
83.33193106,94.66770224,122.989005,0,24.99287749,60.53974795,94.66770224,39.20848693,0,0
112.6180853,217.6975508,261.9552535,136.3366862,213.8817664,135.0258544,217.6975508,168.965129,155.7715098,185.7466246
136.0113348,172.7908191,133.7370227,120.4600379,70.02136752,42.54444673,172.7908191,111.8193345,114.9772195,86.27303025
150.3919068,134.5661984,149.7823995,87.69776465,107.1723647,61.26178165,134.5661984,99.94272203,49.35872113,73.66983768
202.8559217,192.4555084,210.5146614,148.0040636,106.5206553,177.831344,192.4555084,141.9612566,110.5580575,69.28611852
207.9545799,8.39615946,-36.24688078,97.03513389,112.5320513,121.8126378,8.39615946,-186.2072679,78.93392326,49.09675623
223.6375813,142.9422714,39.06589335,128.3480866,47.46082621,146.7005837,142.9422714,57.87523193,111.047905,84.54379677
223.6375813,337.4934719,-36.24688078,312.0997465,206.22151,146.7005837,337.4934719,-186.2072679,398.3935108,271.5076221
247.2798743,254.9848012,334.1424155,219.280818,253.9957265,238.9209484,254.9848012,234.8103218,176.7348766,196.5756686
282.226717,247.351929,70.70526414,206.4276328,287.8418803,218.8206413,247.351929,94.20023792,182.2654131,242.0926869
284.4613764,0,-36.24688078,224.9567458,247.7884615,165.5567713,0,-186.2072679,156.9671591,174.728937
291.6095942,159.9421509,0,194.2020242,203.7998575,234.8053564,159.9421509,115.7308816,147.6705907,161.4205765
338.3927279,258.5668948,-36.24688078,102.5238288,162.3433048,248.8516887,258.5668948,156.7947833,125.0111928,194.9272824
370.1289304,381.0075391,481.2931688,203.5740662,386.7343305,458.1748099,381.0075391,331.9625784,201.8224434,416.9833185
397.6549538,314.6350282,362.1281416,278.0857873,324.747151,315.7619955,314.6350282,263.033187,248.1209344,220.4840057
402.8040937,292.0845776,315.5420425,329.9527411,547.3219373,358.6730132,292.0845776,343.3741133,258.2181138,272.7427889
475.7401468,339.6226415,441.4096766,420.5179414,544.718661,392.6619161,339.6226415,390.8462943,334.9819599,358.8990397
1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
